time_tick,att_X_value,att_Y_value,att_Z_value
9.159126,-1.291341,1.727653,-1.262168
9.189101,-1.485384,1.711837,-1.275604
9.234063,-1.457579,1.669212,-1.276432
9.249050,-1.464176,1.734995,-1.258842
9.294012,-1.334644,1.869344,-1.274154
9.323986,-1.421431,1.947722,-1.263561
9.358957,-1.391010,1.963059,-1.267897
9.398923,-1.374712,2.006534,-1.269752
9.418892,-1.199854,1.992181,-1.296155
9.458848,-1.382878,1.895742,-1.256617
9.493842,-1.374401,1.891420,-1.245691
9.518815,-1.320635,1.876031,-1.233017
9.563782,-1.321893,1.785476,-1.216284
9.593748,-1.488045,1.851648,-1.203185
9.628726,-1.617379,1.904787,-1.191712
9.658701,-1.204272,1.930787,-1.227700
9.698665,-1.118841,1.973064,-1.244191
9.718632,-1.617921,2.027859,-1.237108
9.748602,-1.639901,2.005884,-1.240196
9.788583,-1.432920,1.961467,-1.248490
9.818560,-1.380801,1.949656,-1.255802
9.863511,-1.414345,1.983367,-1.265916
9.893480,-1.464633,1.957751,-1.271933
9.923474,-1.499064,1.948802,-1.272122
9.968431,-1.227455,1.893079,-1.289696
9.988405,-1.061746,1.845021,-1.296726
10.028385,-1.094540,1.802194,-1.286934
10.058359,-1.166789,1.753351,-1.281401
10.088318,-1.043382,1.704617,-1.289885
10.123305,-0.942436,1.696807,-1.287928
10.163269,-1.173734,1.663613,-1.289330
10.193244,-1.241537,1.734740,-1.291396
10.223218,-1.211329,1.757330,-1.292657
10.258189,-1.292035,1.663282,-1.282522
10.288152,-1.438201,1.658044,-1.267091
10.318137,-1.290075,1.613198,-1.259077
10.348113,-1.415668,1.614312,-1.264714
10.393075,-1.790125,1.656920,-1.255308
10.433023,-1.936473,1.596770,-1.262024
10.448026,-1.932589,1.609610,-1.269126
10.492967,-1.959272,1.608878,-1.269638
10.527959,-1.561867,1.581880,-1.291476
10.567923,-1.364747,1.468468,-1.296198
10.587907,-1.507861,1.512521,-1.284978
10.617881,-1.465170,1.469517,-1.286195
10.662822,-1.445717,1.505877,-1.268142
10.692817,-1.336494,1.671692,-1.268745
10.717795,-1.202898,1.634664,-1.296331
10.752752,-1.160326,1.582979,-1.299548
10.782742,-1.120036,1.632263,-1.304043
10.822679,-1.182353,1.659853,-1.296102
10.867661,-1.147688,1.710260,-1.275664
10.897629,-1.178076,1.758560,-1.273304
10.927598,-1.158156,1.753743,-1.273793
10.962587,-1.310521,1.812546,-1.238573
11.002552,-1.418714,1.786013,-1.239977
11.032527,-1.528771,1.677174,-1.253273
11.062499,-1.559998,1.583990,-1.250026
11.092454,-1.230805,1.721811,-1.246406
11.127446,-1.030480,1.613517,-1.262503
11.167387,-1.032991,1.645422,-1.263673
11.197385,-1.159658,1.699041,-1.266644
11.227358,-0.892372,1.736130,-1.273881
11.257334,-0.831149,1.764144,-1.280960
11.292303,-1.066872,1.726580,-1.269529
11.332261,-1.143901,1.745303,-1.252341
11.347256,-1.032565,1.720566,-1.258005
11.392198,-1.414635,1.661059,-1.228400
11.422166,-1.489923,1.701253,-1.217491
11.467154,-1.355942,1.755974,-1.197387
11.497128,-1.124784,1.918947,-1.179101
11.527102,-0.994043,1.840247,-1.184669
11.557076,-0.929548,1.889260,-1.162005
11.592049,-0.915983,1.916278,-1.115578
11.632013,-0.902440,1.945995,-1.042678
11.661987,-0.738209,1.998926,-0.998535
11.691961,-0.743807,2.007869,-0.943505
11.736923,-0.765959,1.960361,-0.872292
11.756892,-0.666557,1.939110,-0.848964
11.796861,-0.606692,2.017993,-0.786235
11.826829,-0.535643,2.034244,-0.746753
11.861818,-0.479799,2.042497,-0.682737
11.891791,-0.527115,2.109125,-0.616847
11.931757,-0.758186,2.244105,-0.539691
11.961731,-0.702558,2.120213,-0.463438
11.991705,-0.727049,2.126629,-0.406759
12.026675,-0.574082,1.962282,-0.335105
12.056632,-0.872523,2.079059,-0.260996
12.086606,-0.735635,2.093017,-0.035252
12.116595,-0.756436,2.128330,0.293377
12.171525,-0.298812,2.096402,0.969422
12.201524,-0.281285,2.140141,1.404846
12.231492,-0.273662,2.176106,1.836055
12.246487,-0.294340,2.180154,2.044969
12.291448,-0.224691,2.266009,2.344089
12.326420,-0.217161,2.289949,2.696949
12.366384,-0.190937,2.239371,3.319284
12.386273,-0.205735,2.201398,3.532480
12.426221,-0.022365,2.173748,3.758712
12.456187,-0.070216,2.098147,4.284855
12.501175,-0.047979,2.078684,5.169222
12.531148,0.021339,2.090536,5.715085
12.561122,0.072259,2.124262,6.226239
12.596071,0.208688,2.122297,6.727370
12.626068,0.172589,2.034866,7.333803
12.656043,0.242694,2.137385,7.725297
12.686017,0.279159,1.970614,8.408228
12.715991,0.249190,2.103661,8.833980
12.760953,0.439381,2.070895,9.484008
12.790927,0.459165,2.119224,10.004500
12.815903,0.338825,2.004545,10.740861
12.860853,0.406289,2.120653,11.598380
12.895838,0.534157,2.140329,12.327234
12.935801,0.508070,2.135169,13.462675
12.965776,0.433207,2.125412,14.286762
12.985761,0.566128,2.091276,14.646802
13.025725,0.595542,2.096086,15.316020
13.055699,0.635751,2.097838,15.652356
13.090670,0.739036,2.003982,16.019516
13.120629,0.689796,2.027133,16.218375
13.150606,0.583776,1.897018,16.542749
13.180594,0.519555,1.861309,17.106154
13.235547,0.632530,1.938805,17.896727
13.265516,0.692985,2.201382,18.116444
13.295484,0.906993,2.016770,19.015137
13.325452,0.648521,2.099713,20.017096
13.360441,0.739106,2.161141,21.048979
13.390415,0.786740,2.200763,22.104504
13.430378,0.689877,2.164228,23.413984
13.460353,0.663924,2.432163,23.661753
13.495324,0.878891,2.487519,23.914189
13.505314,0.830670,2.507368,24.022299
13.565262,0.619018,2.506525,25.426012
13.595237,0.473851,2.410614,26.316898
13.625211,0.517250,2.524016,26.958390
13.655185,0.523088,2.578608,27.728842
13.700147,0.389998,2.724968,29.263527
13.730115,0.430738,2.893019,30.378682
13.760085,0.311299,3.029820,31.514612
13.790053,0.229081,3.093135,32.557128
13.835031,0.138623,3.274565,33.614478
13.865005,-0.022081,3.359790,34.251376
13.894980,-0.103687,3.552013,34.761248
13.924954,-0.122279,3.601573,35.077997
13.959926,-0.290559,3.611474,35.422582
13.989900,-0.406569,3.592588,35.587380
14.019874,-0.260485,3.534385,35.674964
14.049848,-0.400879,3.586298,35.665602
14.089795,-0.466410,3.640002,35.870161
14.134776,-0.710881,3.710252,36.127624
14.164747,-0.689389,3.699825,36.214716
14.194709,-0.758604,3.720014,36.395280
14.224696,-0.742856,3.726069,36.706056
14.259668,-0.917999,3.713699,37.352812
14.289644,-0.917350,3.774319,37.945367
14.329582,-0.918964,3.729957,38.894887
14.359571,-0.894665,3.698629,39.756266
14.389539,-0.999789,3.656230,40.738741
14.434503,-1.120955,3.602248,41.897673
14.449506,-1.151718,3.596160,42.077191
14.494459,-1.059629,3.564519,42.380543
14.524440,-1.127019,3.499468,42.648399
14.559393,-0.996014,3.370331,42.937290
14.584388,-1.042211,2.881802,43.361261
14.619338,-0.995730,2.579870,44.589723
14.649335,-1.097760,2.418902,45.380806
14.689298,-1.080037,2.337465,45.823239
14.734235,-1.008802,2.244472,46.124679
14.749250,-0.897212,2.142463,46.411385
14.794203,-1.398838,2.411441,47.184437
14.824183,-1.340283,2.547097,47.641261
14.859136,-1.651516,2.641549,47.631171
14.899100,-1.724086,2.590592,47.677151
14.919078,-1.788387,2.568563,47.709288
14.959055,-1.890835,2.525507,47.723970
14.989027,-1.949425,2.507659,47.764187
15.034003,-2.104474,2.424175,47.815018
15.063977,-2.192249,2.421437,47.869765
15.093951,-2.308060,2.393401,47.888907
15.123914,-2.358314,2.447831,47.908036
15.158897,-2.013291,2.524132,47.939650
15.183874,-1.995909,2.495473,47.995335
15.228833,-1.695661,2.240345,48.257738
15.258782,-1.701316,2.195344,48.417112
15.288784,-1.614548,2.409282,48.569352
15.333747,-1.419154,2.202527,48.943666
15.363701,-1.698141,2.614101,49.125789
15.393690,-1.783343,2.575344,49.160073
15.408681,-2.327986,2.842694,49.187067
15.458640,-2.290700,2.785010,49.188141
15.498604,-2.276357,2.736868,49.193106
15.533556,-2.227987,2.680175,49.196202
15.558553,-2.201716,2.680754,49.202040
15.593497,-2.176196,2.649383,49.196169
15.623499,-2.181139,2.614879,49.192591
15.653472,-2.205416,2.558257,49.201567
15.683431,-2.140256,2.497565,49.204765
15.723401,-2.090089,2.471021,49.225219
15.758364,-2.063083,2.469156,49.262007
15.783338,-2.030687,2.462779,49.296613
15.828321,-1.749913,2.419470,49.473778
15.858296,-1.580873,2.426243,49.677489
15.893253,-1.509615,2.451168,49.995900
15.933233,-1.552727,2.485880,50.498419
15.963206,-1.339361,2.492284,50.846301
15.993180,-1.396432,2.334986,51.495915
16.028151,-1.315972,2.217796,52.181089
16.058126,-1.051499,2.157000,52.447184
16.098090,-0.872129,2.016502,52.836797
16.128064,-0.788249,2.023406,53.162339
16.158033,-0.807633,2.020411,53.562989
16.192991,-0.889356,2.112659,54.026083
16.232947,-0.986659,2.069973,54.816783
16.247961,-0.972562,2.129125,55.116418
16.292923,-1.030280,2.171667,56.164270
16.327894,-1.011449,2.147535,56.434524
16.367859,-0.937268,2.242910,56.443681
16.387822,-0.923245,2.285208,56.540370
16.427808,-0.978655,2.226321,56.845033
16.457776,-0.997684,2.238308,56.908609
16.492752,-0.853726,2.270803,56.907829
16.532717,-0.685373,2.192305,57.019512
16.562691,-0.676983,2.216448,57.448542
16.592665,-0.838964,2.270394,58.173242
16.627637,-0.724299,2.235933,58.902328
16.657610,-0.539126,2.195073,59.587648
16.687585,-0.440571,2.251981,60.114880
16.727548,-0.235571,2.078355,60.532555
16.757524,-0.224692,1.968205,60.726281
16.792482,-0.214204,1.958550,61.160566
16.822451,-0.092078,2.056300,61.473296
16.862409,0.142456,2.013535,61.761588
16.892407,0.299765,2.043858,61.997617
16.922382,0.381367,1.981742,62.753322
16.967325,0.535452,2.165395,64.437069
16.997304,0.753771,2.194794,65.796394
17.027272,0.980140,2.263271,67.293765
17.062263,1.220901,2.406702,68.746332
17.092236,1.488732,2.280006,69.829109
17.132201,1.672566,2.226832,71.202441
17.152175,1.735923,2.322870,71.800440
17.192150,1.654579,2.160807,72.834536
17.237090,1.728900,2.095087,74.516788
17.267072,1.743658,2.215894,75.413948
17.297060,1.725676,2.277214,76.370552
17.317044,1.664756,2.282111,77.148208
17.347019,1.653478,2.254091,78.256862
17.401883,1.575998,2.129577,80.071050
17.416886,1.589585,2.168253,80.314781
17.461825,1.614302,2.123917,80.785304
17.491824,1.452866,2.115678,80.881121
17.526793,1.326687,2.133807,80.877277
17.566757,1.355900,2.175066,80.919329
17.596731,1.057403,2.150181,80.937448
17.616715,1.022926,2.179455,80.950964
17.656680,1.132341,2.339375,81.016201
17.691652,1.171913,2.367467,81.034679
17.731616,1.163216,2.184074,81.040182
17.751600,1.025732,2.208309,81.116198
17.781574,1.031334,2.225307,81.105839
17.821536,0.974570,2.253677,81.127974
17.851491,0.960986,2.299597,81.137327
17.896469,0.916271,2.280785,81.170242
17.926421,0.935753,2.296088,81.185961
17.956423,0.915605,2.302286,81.202525
17.991368,0.941205,2.321032,81.221970
18.021349,0.923148,2.301010,81.221997
18.061312,0.909632,2.325257,81.227750
18.091285,0.840360,2.324937,81.232336
18.136267,0.807041,2.422966,81.276522
18.166241,0.783861,2.395277,81.280976
18.196216,0.789521,2.343744,81.276559
18.226190,0.785927,2.340747,81.291058
18.261161,0.779668,2.320973,81.289624
18.286138,0.784707,2.341365,81.297720
18.331100,0.854706,2.397005,81.649168
18.361074,0.924219,2.348158,81.974482
18.391048,0.887329,2.345829,82.365510
18.435994,0.805436,2.323717,82.574893
18.455982,0.795583,2.300109,82.553275
18.485954,0.775523,2.297116,82.536434
18.515922,0.789742,2.278266,82.540942
18.560904,0.764773,2.292891,82.545130
18.600869,0.788340,2.349398,82.547433
18.630843,0.801413,2.413961,82.599402
18.660817,0.767917,2.383643,82.663131
18.695788,0.684202,2.302886,82.676994
18.725762,0.627774,2.314431,82.692437
18.755737,0.589084,2.293838,82.704610
18.795701,0.524350,2.327695,82.709708
18.825650,0.476497,2.354780,82.715576
18.860649,0.441884,2.340939,82.710927
18.890617,0.393721,2.323275,82.708115
18.920575,0.365325,2.339619,82.714920
18.960559,0.369139,2.336059,82.717240
18.990534,0.359574,2.316630,82.717167
19.020508,0.326900,2.298236,82.714255
19.065454,0.317512,2.284085,82.700412
19.085453,0.317032,2.289811,82.693916
19.125403,0.283698,2.297821,82.695401
19.155368,0.269101,2.279846,82.689737
19.190363,0.275082,2.278943,82.674075
19.230327,0.270483,2.280546,82.672835
19.250311,0.269909,2.274606,82.672063
