time_tick,att_X_value,att_Y_value,att_Z_value
10.584832,-1.797287,-0.609625,-0.624046
10.639783,-2.166263,-0.970869,-0.614610
10.669758,-2.205645,-0.976363,-0.638581
10.699733,-2.262664,-1.020712,-0.583873
10.744689,-2.099637,-1.097326,-0.577465
10.774657,-1.881320,-1.129572,-0.593327
10.804621,-1.936467,-1.093372,-0.567476
10.834593,-2.027503,-1.098161,-0.589809
10.879579,-2.023885,-1.113841,-0.550377
10.909554,-1.866805,-0.816098,-0.538051
10.939529,-1.898607,-0.878274,-0.571673
10.969504,-1.807857,-0.830915,-0.569435
10.999478,-1.739075,-0.735262,-0.568556
11.034438,-1.675502,-0.674460,-0.587155
11.059428,-1.648106,-0.628467,-0.609028
11.104370,-1.450791,-0.326853,-0.590412
11.134351,-1.222870,-0.044359,-0.604305
11.169320,-1.449393,0.145193,-0.514911
11.199296,-1.603774,0.131981,-0.510020
11.239256,-1.700678,0.350142,-0.452986
11.269225,-1.620841,0.586902,-0.369826
11.284237,-1.640981,0.737303,-0.340243
11.329179,-1.787806,1.130257,-0.220687
11.364169,-1.895126,1.119507,-0.214980
11.394144,-2.055610,1.044634,-0.229030
11.434109,-2.316982,1.058362,-0.200562
11.479071,-2.255937,1.037132,-0.206267
11.494058,-2.158894,1.024591,-0.204681
11.539000,-1.936121,0.879479,-0.217565
11.568968,-1.951115,0.842646,-0.218484
11.603966,-2.110324,0.869469,-0.211098
11.643931,-2.355256,0.965882,-0.207449
11.663897,-2.362110,0.975255,-0.208201
11.703857,-2.633499,0.954711,-0.197469
11.733855,-2.600769,0.972725,-0.202058
11.778816,-2.733196,0.951284,-0.208904
11.793791,-2.775076,0.963207,-0.210820
11.828753,-2.860945,0.941900,-0.219231
11.868742,-3.077204,0.924662,-0.205681
11.913702,-3.178209,0.879917,-0.216039
11.933686,-3.197834,0.841454,-0.211107
11.963661,-3.102603,0.804210,-0.191962
11.993635,-2.749446,0.728101,-0.220980
12.033600,-2.696230,0.893731,-0.153075
12.053584,-2.780930,0.983845,-0.128724
12.108519,-2.987518,0.964729,-0.125074
12.138492,-2.819811,0.995732,-0.097078
12.173482,-2.670768,0.825240,-0.130887
12.203458,-2.785531,0.822506,-0.150152
12.233432,-2.945954,0.861534,-0.170242
12.273387,-2.875143,0.799775,-0.223086
12.303371,-2.643721,0.686363,-0.252143
12.333345,-2.532286,0.641009,-0.271935
12.368318,-2.473118,0.594371,-0.285494
12.408282,-2.435535,0.433151,-0.292143
12.423269,-2.419235,0.402326,-0.325476
12.468231,-2.302444,0.291716,-0.332054
12.503187,-2.305870,0.224062,-0.329225
12.543151,-2.359605,0.206259,-0.352632
12.573119,-2.293578,0.180696,-0.354958
12.603099,-2.212251,0.140274,-0.343271
12.638088,-2.010020,0.121103,-0.347916
12.678052,-1.934751,0.098694,-0.346379
12.708027,-1.934166,0.053813,-0.337690
12.738002,-1.990482,0.006036,-0.347760
12.767976,-1.948057,0.018994,-0.341909
12.802948,-2.127342,0.020344,-0.335538
12.832922,-2.176467,-0.007908,-0.344084
12.872862,-2.013059,-0.012636,-0.323395
12.902861,-2.378858,-0.015835,-0.320195
12.937824,-2.454364,-0.043460,-0.327114
12.967792,-2.417393,-0.055842,-0.323427
12.997783,-2.340857,-0.078556,-0.316365
13.037749,-2.369133,-0.031966,-0.306847
13.067699,-2.362108,0.002597,-0.310474
13.097685,-2.684906,0.086164,-0.292275
13.142638,-2.804674,0.064814,-0.298468
13.172617,-2.820358,0.111229,-0.283125
13.202605,-2.699652,0.115670,-0.293338
13.232564,-2.646092,0.194490,-0.300363
13.262544,-2.722205,0.187751,-0.297648
13.307517,-2.673464,0.121450,-0.376974
13.352477,-3.113254,0.193201,-0.368210
13.367467,-3.210035,0.205458,-0.376336
13.412406,-3.191141,0.189290,-0.401281
13.442381,-2.998448,0.172550,-0.393011
13.462390,-2.887389,0.119551,-0.397402
13.492358,-2.807189,0.045877,-0.409785
13.522248,-2.841677,0.013881,-0.401395
13.552222,-2.944641,-0.050332,-0.391765
13.607174,-2.890323,-0.178535,-0.398074
13.637149,-2.547781,-0.253912,-0.384146
13.667115,-2.577223,-0.336746,-0.407360
13.682111,-2.347949,-0.366381,-0.406446
13.732070,-2.181011,-0.459270,-0.487905
13.772034,-2.501409,-0.431136,-0.512446
13.802009,-2.622801,-0.296723,-0.554586
13.836966,-3.031927,-0.118302,-0.544486
13.866934,-3.018405,-0.152010,-0.554373
13.906903,-2.959489,-0.104838,-0.572866
13.936894,-2.617707,-0.199723,-0.574811
13.966869,-2.641176,-0.194115,-0.591348
13.996844,-2.643946,-0.186685,-0.580199
14.041780,-2.457306,-0.254389,-0.597205
14.061788,-2.439161,-0.624950,-0.579767
14.101747,-2.446699,-0.585439,-0.637264
14.121726,-2.353895,-0.610501,-0.587842
14.166701,-1.979254,-0.602475,-0.696867
14.206666,-2.029423,-0.557213,-0.744434
14.236640,-2.296918,-0.640294,-0.744411
14.271612,-2.578538,-0.745219,-0.800074
14.301586,-2.614205,-0.742104,-0.831031
14.331560,-2.427340,-0.773481,-0.873934
14.371524,-2.488614,-0.767294,-0.926263
14.401500,-2.329825,-0.785381,-0.973559
14.431474,-2.386284,-0.663161,-1.029684
14.476412,-2.160274,-0.558308,-1.053225
14.506410,-2.137827,-0.530585,-1.150876
14.536378,-1.952790,-0.625060,-1.175197
14.566358,-1.633702,-0.589712,-1.257507
14.611322,-1.100428,-0.758350,-1.390800
14.641296,-1.141574,-0.612047,-1.428272
14.671271,-1.128393,-0.696285,-1.536032
14.701230,-1.123723,-0.569334,-1.597944
14.721215,-1.161879,-0.524053,-1.626914
14.766190,-1.042897,-0.427326,-1.686582
14.806156,-0.752633,-0.320878,-1.726116
14.836130,-0.187198,-0.325788,-1.774558
14.866104,-0.143209,-0.276219,-1.805965
14.901052,-0.192930,-0.108327,-1.835888
14.941041,-0.155093,0.066663,-1.878340
14.961026,-0.063904,0.083520,-1.897880
14.991000,-0.011847,0.200715,-1.927422
15.035963,-0.181503,0.214179,-1.971405
15.060939,-0.223646,0.244022,-2.003612
15.105879,-0.168812,0.094894,-2.060948
15.135865,-0.297879,0.064480,-2.067635
15.165834,-0.216354,0.101415,-2.068549
15.210785,-0.156319,0.056427,-2.083200
15.240774,-0.167033,0.045199,-2.070937
15.270742,-0.208508,-0.009034,-2.074894
15.305732,-0.317979,-0.071131,-2.069555
15.335707,-0.492600,-0.112636,-2.065481
15.360686,-0.522271,-0.143569,-2.058987
15.395656,-0.525748,-0.160272,-2.046188
15.435620,-0.190228,-0.206194,-2.057517
15.465595,-0.181853,-0.153915,-2.047068
15.510530,-0.178579,-0.110406,-2.048421
15.540528,-0.166611,-0.103240,-2.049731
15.570505,-0.207678,-0.067461,-2.043393
15.600480,-0.159333,-0.101663,-2.031290
15.635452,-0.150670,-0.102681,-2.011913
15.665426,-0.344222,-0.146909,-2.003039
15.695402,-0.310091,-0.158246,-2.007612
15.735366,-0.568223,-0.100867,-1.997733
15.750353,-0.619022,-0.103195,-2.007634
15.795311,-0.594768,-0.131281,-2.036081
15.840276,-0.540599,-0.181036,-2.027095
15.860261,-0.419467,-0.217480,-2.034610
15.900226,-0.484633,-0.207207,-2.047718
15.935181,-0.497023,-0.262062,-2.068228
15.975162,-0.642317,-0.337320,-2.080683
